0, 13, 14, 17, 37, 39, 40, 61, 78, 80, 81, 82, 84, 87, 88, 91, 95, 146, 178, 181, 185, 191, 267, 269, 270, 291, 308, 310, 311, 312, 314, 317, 318, 321, 324, 375, 402, 405, 409, 415
[429.00986  376.21893  -13.814912],[429.00986  383.33926   -9.497752],[429.00986 390.4596   -8.63432],[430.43393  403.27615   -9.497752],[419.0414   374.79486  -13.814912],[409.073    379.06708  -11.224616],[401.95267  381.91522   -7.770888],[3.9625641e+02 3.8903552e+02 5.9604645e-08],[400.5286    387.61145    -1.7268639],[409.073    384.76334   -6.044024],[414.76923  384.76334   -7.770888],[421.88956  383.33926   -9.497752],[420.46548  401.8521    -9.497752],[421.88956  390.4596    -7.770888],[409.073    390.4596    -5.180592],[404.80078  396.15585   -5.180592],[404.80078   389.03552    -2.5902958],[399.10452   391.88367    -2.5902958],[414.76923  390.4596    -6.907456],[411.92108  400.42804   -7.770888],[397.68048   384.76334    -4.3171597],[404.80078  386.18738   -3.453728],[438.97833 373.37082 -12.95148],[448.94672  376.21893   -9.497752],[453.21893  379.06708   -6.044024],[460.33923  383.33926    2.590296],[456.06708    383.33926      0.86343205],[447.52267   381.91522    -4.3171597],[443.2505   381.91522   -6.907456],[436.1302  383.33926  -8.63432],[440.40234 400.42804  -8.63432],[437.55426  389.03552   -7.770888],[448.94672  387.61145   -3.453728],[453.21893  391.88367   -3.453728],[451.79486    386.18738     -0.86343193],[457.49115    387.61145     -0.86343193],[443.2505   389.03552   -5.180592],[447.52267  397.5799    -6.044024],[457.49115   380.49115    -1.7268639],[451.79486   381.91522    -1.7268639]
[430.43393 377.643   -12.95148],[430.43393  384.76334   -9.497752],[430.43393  390.4596    -7.770888],[431.85797 403.27615  -8.63432],[419.0414  377.643   -12.95148],[409.073    380.49115  -10.361184],[403.3767   383.33926   -6.907456],[3.9625641e+02 3.8903552e+02 5.9604645e-08],[400.5286     389.03552     -0.86343193],[409.073    386.18738   -5.180592],[414.76923  386.18738   -7.770888],[421.88956 384.76334  -8.63432],[421.88956 403.27615  -8.63432],[421.88956  391.88367   -7.770888],[409.073     390.4596     -4.3171597],[404.80078  396.15585   -5.180592],[404.80078   389.03552    -2.5902958],[399.10452   391.88367    -1.7268639],[414.76923  390.4596    -6.044024],[411.92108  400.42804   -6.907456],[397.68048  386.18738   -3.453728],[404.80078   386.18738    -2.5902958],[438.97833  376.21893  -12.088048],[448.94672  377.643     -9.497752],[454.643    380.49115   -5.180592],[460.33923  384.76334    2.590296],[456.06708   384.76334     1.7268641],[447.52267  383.33926   -3.453728],[443.2505   383.33926   -6.044024],[437.55426  384.76334   -7.770888],[440.40234  400.42804   -7.770888],[437.55426  390.4596    -6.907456],[448.94672   387.61145    -2.5902958],[454.643    393.30774   -3.453728],[4.5321893e+02 3.8618738e+02 5.9604645e-08],[4.5749115e+02 3.8903552e+02 5.9604645e-08],[444.67456  389.03552   -5.180592],[447.52267  397.5799    -6.044024],[458.9152     381.91522     -0.86343193],[451.79486    383.33926     -0.86343193]
[430.43393 377.643   -12.95148],[430.43393 384.76334  -8.63432],[430.43393  390.4596    -7.770888],[431.85797 401.8521   -8.63432],[420.46548 377.643   -12.95148],[409.073    380.49115  -10.361184],[403.3767   383.33926   -6.907456],[396.2564     389.03552      0.86343205],[400.5286     389.03552     -0.86343193],[409.073    386.18738   -5.180592],[414.76923  386.18738   -6.907456],[421.88956 384.76334  -8.63432],[421.88956 401.8521   -8.63432],[423.3136   390.4596    -7.770888],[409.073     390.4596     -4.3171597],[404.80078  396.15585   -5.180592],[404.80078   389.03552    -1.7268639],[399.10452   391.88367    -1.7268639],[414.76923  390.4596    -6.044024],[411.92108  400.42804   -6.907456],[397.68048  386.18738   -3.453728],[404.80078   386.18738    -2.5902958],[438.97833  376.21893  -12.088048],[448.94672 377.643    -8.63432],[454.643    380.49115   -5.180592],[461.7633   384.76334    3.453728],[457.49115   384.76334     1.7268641],[448.94672  383.33926   -3.453728],[443.2505   383.33926   -6.044024],[437.55426  384.76334   -7.770888],[440.40234  400.42804   -7.770888],[437.55426  390.4596    -6.907456],[450.3708    387.61145    -2.5902958],[454.643    391.88367   -3.453728],[4.5321893e+02 3.8618738e+02 5.9604645e-08],[458.9152     387.61145      0.86343205],[444.67456  389.03552   -5.180592],[448.94672  397.5799    -6.044024],[458.9152     381.91522     -0.86343193],[453.21893    383.33926     -0.86343193]
[429.38318  378.35455  -13.814912],[429.8329   386.56165   -9.497752],[428.76483  392.108     -7.770888],[430.73227  402.97586   -9.497752],[419.73328 377.51135 -12.95148],[410.30823  380.77173  -10.361184],[403.61887  383.88217   -7.770888],[3.9707941e+02 3.8972833e+02 5.9604645e-08],[401.18295    389.50348     -0.86343193],[410.60803  386.2431    -5.180592],[416.15436  387.31116   -7.770888],[421.55084  385.6435    -9.497752],[421.15732  403.50052   -9.497752],[421.85065  391.11493   -7.770888],[409.46503   390.42163    -4.3171597],[405.66125  396.11786   -5.180592],[406.7293    390.57153    -2.5902958],[401.33286   392.2392     -2.5902958],[415.01135  391.4897    -6.907456],[412.8003   401.2145    -7.770888],[399.66522  386.8427    -3.453728],[406.50446   386.46796    -2.5902958],[437.51532 376.537   -12.95148],[447.24017  378.74805   -9.497752],[452.86145  381.18396   -6.044024],[459.9256   384.91272    2.590296],[454.45416    385.21252      0.86343205],[447.53998   384.21945    -4.3171597],[442.0686   384.51926   -6.907456],[436.67212 386.1869   -8.63432],[438.86444 401.15833  -8.63432],[436.89697  390.29047   -7.770888],[447.76483  388.323     -3.453728],[452.16815   393.56955    -4.3171597],[451.7934     386.7303      -0.86343193],[4.5604688e+02 3.8924115e+02 5.9604645e-08],[442.3684   389.99066   -5.180592],[446.92163  397.9729    -6.907456],[457.03998   382.32693    -1.7268639],[451.6435    383.9946     -1.7268639]
[429.85156  376.23718  -13.814912],[429.85156  384.4443   -10.361184],[429.85156  388.54785   -9.497752],[431.21942  399.49066  -11.224616],[420.2766   376.23718  -13.814912],[410.70166  380.34076  -11.224616],[403.86243  383.07645   -7.770888],[3.9839102e+02 3.8854785e+02 5.9604645e-08],[402.49457   387.18       -1.7268639],[410.70166  385.81213   -6.044024],[416.1731   385.81213   -7.770888],[423.01233  384.4443    -9.497752],[421.64447  399.49066  -11.224616],[423.01233  388.54785   -9.497752],[410.70166  388.54785   -6.044024],[406.59814  394.01926   -6.907456],[406.59814  388.54785   -3.453728],[401.1267   391.28357   -3.453728],[416.1731   388.54785   -7.770888],[413.43738 398.1228   -8.63432],[399.75888  385.81213   -3.453728],[405.2303   385.81213   -3.453728],[438.05872 374.86932 -12.95148],[447.6336   376.23718  -10.361184],[454.4729   378.9729    -6.907456],[461.31213    383.07645      0.86343205],[455.84076    383.07645     -0.86343193],[447.6336   383.07645   -5.180592],[443.5301   383.07645   -7.770888],[436.69086  383.07645   -9.497752],[439.42654  398.1228   -10.361184],[438.05872 387.18     -8.63432],[449.00146  385.81213   -5.180592],[453.10504  389.9157    -6.044024],[453.10504   384.4443     -2.5902958],[457.2086    387.18       -1.7268639],[443.5301   387.18      -6.907456],[447.6336  395.38712  -8.63432],[458.57642  380.34076   -3.453728],[453.10504   383.07645    -2.5902958]
[426.857    375.76825  -14.678344],[427.3067   383.63806  -11.224616],[427.83136 392.81952  -8.63432],[428.50592  404.62427   -9.497752],[417.67554  376.2929   -14.678344],[408.64398  379.44083  -11.224616],[403.54736  382.36392   -7.770888],[3.9728897e+02 3.8798523e+02 5.9604645e-08],[401.22388    387.76038     -0.86343193],[408.9438   384.68738   -6.044024],[414.19037 384.38757  -8.63432],[420.74854  384.01282  -10.361184],[419.2495   403.83728   -9.497752],[421.2732  393.19427  -8.63432],[409.31854  391.24557   -5.180592],[404.37183  396.79193   -5.180592],[405.3087    390.15878    -2.5902958],[400.21204   393.08185    -1.7268639],[414.64008  392.2574    -6.907456],[411.2298   401.6637    -7.770888],[398.4507   385.287     -3.453728],[405.00888  384.91223   -3.453728],[436.03848  375.2436   -13.814912],[445.36984  377.34222  -11.224616],[450.7663   379.6657    -6.907456],[457.62427   384.53748     1.7268641],[4.5368936e+02 3.8476233e+02 5.9604645e-08],[445.66965  382.58875   -5.180592],[440.4231   382.88855   -7.770888],[433.86493  383.2633   -10.361184],[437.61243  402.78796   -9.497752],[435.7012   392.36984   -7.770888],[446.0444    389.14697    -4.3171597],[451.59076   394.0937     -4.3171597],[449.90436   387.61047    -1.7268639],[455.3008     389.93393     -0.86343193],[442.18445  390.68344   -6.044024],[445.33234  399.715     -6.907456],[456.16272   381.98914    -2.5902958],[449.6795    383.67554    -2.5902958]
[431.21942  374.86932  -14.678344],[431.21942  383.07645  -11.224616],[431.21942  388.54785  -10.361184],[432.58728  399.49066  -12.088048],[421.64447  374.86932  -14.678344],[412.06952  378.9729   -12.088048],[406.59814 383.07645  -8.63432],[399.75888   388.54785    -1.7268639],[403.86243   387.18       -2.5902958],[412.06952  385.81213   -6.907456],[417.54095  384.4443    -9.497752],[424.3802   384.4443   -11.224616],[423.01233  399.49066  -12.088048],[424.3802   388.54785  -10.361184],[412.06952  388.54785   -6.907456],[407.96597  394.01926   -7.770888],[407.96597   388.54785    -4.3171597],[403.86243   391.28357    -4.3171597],[417.54095 388.54785  -8.63432],[414.80524  398.1228   -10.361184],[402.49457  385.81213   -5.180592],[407.96597  385.81213   -5.180592],[439.42654  373.50146  -13.814912],[449.00146  376.23718  -11.224616],[454.4729   378.9729    -7.770888],[461.31213    384.4443      -0.86343193],[457.2086    384.4443     -1.7268639],[449.00146  383.07645   -6.907456],[443.5301  383.07645  -8.63432],[438.05872  383.07645  -10.361184],[440.79437  398.1228   -12.088048],[438.05872  387.18     -10.361184],[450.36932  385.81213   -6.044024],[454.4729   391.28357   -6.907456],[453.10504  385.81213   -3.453728],[458.57642  387.18      -3.453728],[444.89795  387.18      -7.770888],[449.00146  395.38712   -9.497752],[458.57642   381.70862    -4.3171597],[453.10504   383.07645    -4.3171597]
[431.21942  376.23718  -14.678344],[431.21942  384.4443   -10.361184],[431.21942  388.54785  -10.361184],[432.58728  399.49066  -12.088048],[421.64447  376.23718  -13.814912],[412.06952  380.34076  -11.224616],[406.59814 383.07645  -8.63432],[399.75888    388.54785     -0.86343193],[403.86243   388.54785    -2.5902958],[412.06952  385.81213   -6.907456],[417.54095 385.81213  -8.63432],[424.3802   384.4443   -10.361184],[423.01233  399.49066  -11.224616],[424.3802   388.54785   -9.497752],[412.06952  388.54785   -6.044024],[407.96597  394.01926   -7.770888],[407.96597   388.54785    -4.3171597],[403.86243  391.28357   -3.453728],[417.54095  388.54785   -7.770888],[414.80524  398.1228    -9.497752],[401.1267    385.81213    -4.3171597],[407.96597   385.81213    -4.3171597],[439.42654  374.86932  -13.814912],[449.00146  377.60504  -11.224616],[454.4729   380.34076   -7.770888],[4.6131213e+02 3.8444431e+02 5.9604645e-08],[457.2086    384.4443     -1.7268639],[449.00146  383.07645   -6.044024],[444.89795  383.07645   -7.770888],[438.05872  384.4443    -9.497752],[440.79437  398.1228   -11.224616],[439.42654  387.18      -9.497752],[450.36932  385.81213   -5.180592],[454.4729   391.28357   -6.044024],[454.4729    385.81213    -2.5902958],[458.57642   387.18       -2.5902958],[444.89795  387.18      -7.770888],[449.00146 395.38712  -8.63432],[459.94427  381.70862   -3.453728],[453.10504  383.07645   -3.453728]
[431.21942  377.60504  -13.814912],[431.21942  385.81213   -9.497752],[431.21942 388.54785  -8.63432],[431.21942  400.85852  -10.361184],[421.64447 377.60504 -12.95148],[412.06952  381.70862  -10.361184],[406.59814  384.4443    -7.770888],[3.9975888e+02 3.8854785e+02 5.9604645e-08],[403.86243   388.54785    -1.7268639],[412.06952  387.18      -5.180592],[417.54095  387.18      -7.770888],[424.3802   385.81213   -9.497752],[423.01233  400.85852   -9.497752],[424.3802  389.9157   -8.63432],[412.06952  389.9157    -5.180592],[407.96597  395.38712   -6.044024],[407.96597   388.54785    -2.5902958],[403.86243   391.28357    -2.5902958],[417.54095  389.9157    -6.907456],[414.80524  398.1228    -7.770888],[402.49457  387.18      -3.453728],[407.96597  387.18      -3.453728],[439.42654 376.23718 -12.95148],[447.6336   377.60504  -10.361184],[453.10504  380.34076   -6.907456],[459.94427    384.4443       0.86343205],[4.5584076e+02 3.8444431e+02 5.9604645e-08],[447.6336   384.4443    -5.180592],[443.5301   384.4443    -6.907456],[436.69086 384.4443   -8.63432],[440.79437  399.49066   -9.497752],[438.05872  388.54785   -7.770888],[449.00146   387.18       -4.3171597],[453.10504  391.28357   -5.180592],[451.73718   385.81213    -1.7268639],[457.2086    388.54785    -1.7268639],[443.5301   387.18      -6.044024],[447.6336   395.38712   -7.770888],[457.2086    381.70862    -2.5902958],[451.73718   384.4443     -2.5902958]
[429.85156  377.60504  -13.814912],[429.85156  385.81213  -10.361184],[429.85156  395.38712   -7.770888],[431.21942 407.69775  -8.63432],[420.2766   377.60504  -13.814912],[412.06952  380.34076  -11.224616],[406.59814  384.4443    -7.770888],[4.0112671e+02 3.9128357e+02 5.9604645e-08],[405.2303     391.28357     -0.86343193],[413.43738  387.18      -6.044024],[417.54095 387.18     -8.63432],[424.3802   385.81213  -10.361184],[421.64447 407.69775  -8.63432],[423.01233  395.38712   -7.770888],[412.06952   394.01926    -4.3171597],[407.96597  400.85852   -5.180592],[409.33383   392.65143    -2.5902958],[403.86243   395.38712    -2.5902958],[417.54095  395.38712   -6.044024],[413.43738  404.96207   -6.907456],[402.49457  387.18      -3.453728],[409.33383  388.54785   -3.453728],[438.05872 376.23718 -12.95148],[447.6336   377.60504  -10.361184],[453.10504  381.70862   -6.907456],[458.57642    387.18         0.86343205],[4.5447290e+02 3.8717999e+02 5.9604645e-08],[446.26575  384.4443    -5.180592],[442.16223  384.4443    -7.770888],[436.69086  384.4443    -9.497752],[440.79437  406.3299    -7.770888],[438.05872  395.38712   -7.770888],[447.6336   392.65143   -3.453728],[453.10504   396.75494    -4.3171597],[451.73718   389.9157     -1.7268639],[455.84076    392.65143     -0.86343193],[443.5301   394.01926   -6.044024],[447.6336   402.22635   -6.044024],[455.84076  384.4443    -3.453728],[450.36932   385.81213    -2.5902958]
